alert_id,fault_id,fault_name,confidence,method,rule_name,exists
5:gaia-2021-08-01-2021-08-01_01`:53`:47-memory_anomalies,1:API Key 泄露到公共代码仓库（K8s 场景）,API Key 泄露到公共代码仓库（K8s 场景）,0.95,rule,gaia-memory-mob,False
5:gaia-2021-08-01-2021-08-01_02`:29`:33-memory_anomalies,1:Redis Cluster 节点下线导致 slot 不可用,Redis Cluster 节点下线导致 slot 不可用,0.95,rule,gaia-memory-redis,False
5:gaia-2021-08-01-2021-08-01_03`:41`:50-memory_anomalies,1:Redis Cluster 节点下线导致 slot 不可用,Redis Cluster 节点下线导致 slot 不可用,0.95,rule,gaia-memory-redis,False
5:gaia-2021-08-01-2021-08-01_03`:53`:11-memory_anomalies,1:Elasticsearch 写入拒绝（429）,Elasticsearch 写入拒绝（429）,0.94,rule,gaia-memory-log,False
5:gaia-2021-08-01-2021-08-01_04`:59`:11-memory_anomalies,1:Redis Cluster 节点下线导致 slot 不可用,Redis Cluster 节点下线导致 slot 不可用,0.95,rule,gaia-memory-redis,False
5:gaia-2021-08-01-2021-08-01_05`:38`:16-memory_anomalies,1:Apache SSL 握手失败,Apache SSL 握手失败,0.94,rule,gaia-memory-web,False
5:gaia-2021-08-01-2021-08-01_07`:55`:01-memory_anomalies,1:MongoDB 副本集选举失败,MongoDB 副本集选举失败,0.95,rule,gaia-memory-db,False
5:gaia-2021-08-01-2021-08-01_08`:13`:47-memory_anomalies,1:Elasticsearch 写入拒绝（429）,Elasticsearch 写入拒绝（429）,0.94,rule,gaia-memory-log,False
5:gaia-2021-08-01-2021-08-01_09`:41`:08-memory_anomalies,1:Apache SSL 握手失败,Apache SSL 握手失败,0.94,rule,gaia-memory-web,False
5:gaia-2021-08-01-2021-08-01_10`:19`:50-memory_anomalies,1:Apache SSL 握手失败,Apache SSL 握手失败,0.94,rule,gaia-memory-web,False
5:gaia-2021-08-01-2021-08-01_10`:29`:56-memory_anomalies,1:API Key 泄露到公共代码仓库（K8s 场景）,API Key 泄露到公共代码仓库（K8s 场景）,0.95,rule,gaia-memory-mob,False
5:gaia-2021-08-01-2021-08-01_12`:30`:24-memory_anomalies,1:Apache SSL 握手失败,Apache SSL 握手失败,0.94,rule,gaia-memory-web,False
